Data As Of,Start Date,End Date,MMWR Year,MMWR Week,Week-Ending Date,Jurisdiction of Occurrence,Urbanization Classification,COVID-19 Deaths,Total Deaths,Footnote
05/05/2021,12/29/2019,01/04/2020,2020,1,01/04/2020,United States,All Counties in the U.S.,,60171,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2021,12/29/2019,01/04/2020,2020,1,01/04/2020,United States,Metropolitan,,51072,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2021,12/29/2019,01/04/2020,2020,1,01/04/2020,United States,Nonmetropolitan,0,9099,
05/05/2021,01/05/2020,01/11/2020,2020,2,01/11/2020,United States,All Counties in the U.S.,0,60725,
05/05/2021,01/05/2020,01/11/2020,2020,2,01/11/2020,United States,Metropolitan,0,51777,
05/05/2021,01/05/2020,01/11/2020,2020,2,01/11/2020,United States,Nonmetropolitan,0,8948,
05/05/2021,01/12/2020,01/18/2020,2020,3,01/18/2020,United States,All Counties in the U.S.,,59352,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2021,01/12/2020,01/18/2020,2020,3,01/18/2020,United States,Metropolitan,,50576,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2021,01/12/2020,01/18/2020,2020,3,01/18/2020,United States,Nonmetropolitan,,8776,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2021,01/19/2020,01/25/2020,2020,4,01/25/2020,United States,All Counties in the U.S.,,59153,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2021,01/19/2020,01/25/2020,2020,4,01/25/2020,United States,Metropolitan,,50324,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2021,01/19/2020,01/25/2020,2020,4,01/25/2020,United States,Nonmetropolitan,0,8829,
05/05/2021,01/26/2020,02/01/2020,2020,5,02/01/2020,United States,All Counties in the U.S.,0,58822,
05/05/2021,01/26/2020,02/01/2020,2020,5,02/01/2020,United States,Metropolitan,0,50028,
05/05/2021,01/26/2020,02/01/2020,2020,5,02/01/2020,United States,Nonmetropolitan,0,8794,
05/05/2021,02/02/2020,02/08/2020,2020,6,02/08/2020,United States,All Counties in the U.S.,,59466,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2021,02/02/2020,02/08/2020,2020,6,02/08/2020,United States,Metropolitan,,50610,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2021,02/02/2020,02/08/2020,2020,6,02/08/2020,United States,Nonmetropolitan,0,8856,
05/05/2021,02/09/2020,02/15/2020,2020,7,02/15/2020,United States,All Counties in the U.S.,0,58799,
05/05/2021,02/09/2020,02/15/2020,2020,7,02/15/2020,United States,Metropolitan,0,49980,
05/05/2021,02/09/2020,02/15/2020,2020,7,02/15/2020,United States,Nonmetropolitan,0,8819,
05/05/2021,02/16/2020,02/22/2020,2020,8,02/22/2020,United States,All Counties in the U.S.,,58893,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2021,02/16/2020,02/22/2020,2020,8,02/22/2020,United States,Metropolitan,,50052,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2021,02/16/2020,02/22/2020,2020,8,02/22/2020,United States,Nonmetropolitan,0,8841,
05/05/2021,02/23/2020,02/29/2020,2020,9,02/29/2020,United States,All Counties in the U.S.,,59316,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2021,02/23/2020,02/29/2020,2020,9,02/29/2020,United States,Metropolitan,,50369,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2021,02/23/2020,02/29/2020,2020,9,02/29/2020,United States,Nonmetropolitan,,8947,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2021,03/01/2020,03/07/2020,2020,10,03/07/2020,United States,All Counties in the U.S.,37,59684,
05/05/2021,03/01/2020,03/07/2020,2020,10,03/07/2020,United States,Metropolitan,37,50781,
05/05/2021,03/01/2020,03/07/2020,2020,10,03/07/2020,United States,Nonmetropolitan,0,8903,
05/05/2021,03/08/2020,03/14/2020,2020,11,03/14/2020,United States,All Counties in the U.S.,57,58667,
05/05/2021,03/08/2020,03/14/2020,2020,11,03/14/2020,United States,Metropolitan,55,49881,
05/05/2021,03/08/2020,03/14/2020,2020,11,03/14/2020,United States,Nonmetropolitan,,8786,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2021,03/15/2020,03/21/2020,2020,12,03/21/2020,United States,All Counties in the U.S.,577,59204,
05/05/2021,03/15/2020,03/21/2020,2020,12,03/21/2020,United States,Metropolitan,568,50405,
05/05/2021,03/15/2020,03/21/2020,2020,12,03/21/2020,United States,Nonmetropolitan,,8799,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2021,03/22/2020,03/28/2020,2020,13,03/28/2020,United States,All Counties in the U.S.,3186,63006,
05/05/2021,03/22/2020,03/28/2020,2020,13,03/28/2020,United States,Metropolitan,3111,53775,
05/05/2021,03/22/2020,03/28/2020,2020,13,03/28/2020,United States,Nonmetropolitan,75,9231,
05/05/2021,03/29/2020,04/04/2020,2020,14,04/04/2020,United States,All Counties in the U.S.,10097,72284,
05/05/2021,03/29/2020,04/04/2020,2020,14,04/04/2020,United States,Metropolitan,9857,63289,
05/05/2021,03/29/2020,04/04/2020,2020,14,04/04/2020,United States,Nonmetropolitan,240,8995,
05/05/2021,04/05/2020,04/11/2020,2020,15,04/11/2020,United States,All Counties in the U.S.,16272,79093,
05/05/2021,04/05/2020,04/11/2020,2020,15,04/11/2020,United States,Metropolitan,15920,69835,
05/05/2021,04/05/2020,04/11/2020,2020,15,04/11/2020,United States,Nonmetropolitan,352,9258,
05/05/2021,04/12/2020,04/18/2020,2020,16,04/18/2020,United States,All Counties in the U.S.,17139,76794,
05/05/2021,04/12/2020,04/18/2020,2020,16,04/18/2020,United States,Metropolitan,16693,67561,
05/05/2021,04/12/2020,04/18/2020,2020,16,04/18/2020,United States,Nonmetropolitan,446,9233,
05/05/2021,04/19/2020,04/25/2020,2020,17,04/25/2020,United States,All Counties in the U.S.,15510,73904,
05/05/2021,04/19/2020,04/25/2020,2020,17,04/25/2020,United States,Metropolitan,15000,64748,
05/05/2021,04/19/2020,04/25/2020,2020,17,04/25/2020,United States,Nonmetropolitan,510,9156,
05/05/2021,04/26/2020,05/02/2020,2020,18,05/02/2020,United States,All Counties in the U.S.,13199,69291,
05/05/2021,04/26/2020,05/02/2020,2020,18,05/02/2020,United States,Metropolitan,12681,60276,
05/05/2021,04/26/2020,05/02/2020,2020,18,05/02/2020,United States,Nonmetropolitan,518,9015,
05/05/2021,05/03/2020,05/09/2020,2020,19,05/09/2020,United States,All Counties in the U.S.,11220,66805,
05/05/2021,05/03/2020,05/09/2020,2020,19,05/09/2020,United States,Metropolitan,10727,57689,
05/05/2021,05/03/2020,05/09/2020,2020,19,05/09/2020,United States,Nonmetropolitan,493,9116,
05/05/2021,05/10/2020,05/16/2020,2020,20,05/16/2020,United States,All Counties in the U.S.,9210,64461,
05/05/2021,05/10/2020,05/16/2020,2020,20,05/16/2020,United States,Metropolitan,8721,55443,
05/05/2021,05/10/2020,05/16/2020,2020,20,05/16/2020,United States,Nonmetropolitan,489,9018,
05/05/2021,05/17/2020,05/23/2020,2020,21,05/23/2020,United States,All Counties in the U.S.,7228,61612,
05/05/2021,05/17/2020,05/23/2020,2020,21,05/23/2020,United States,Metropolitan,6836,52896,
05/05/2021,05/17/2020,05/23/2020,2020,21,05/23/2020,United States,Nonmetropolitan,392,8716,
05/05/2021,05/24/2020,05/30/2020,2020,22,05/30/2020,United States,All Counties in the U.S.,6158,59661,
05/05/2021,05/24/2020,05/30/2020,2020,22,05/30/2020,United States,Metropolitan,5759,51080,
05/05/2021,05/24/2020,05/30/2020,2020,22,05/30/2020,United States,Nonmetropolitan,399,8581,
05/05/2021,05/31/2020,06/06/2020,2020,23,06/06/2020,United States,All Counties in the U.S.,5037,58877,
05/05/2021,05/31/2020,06/06/2020,2020,23,06/06/2020,United States,Metropolitan,4681,50200,
05/05/2021,05/31/2020,06/06/2020,2020,23,06/06/2020,United States,Nonmetropolitan,356,8677,
05/05/2021,06/07/2020,06/13/2020,2020,24,06/13/2020,United States,All Counties in the U.S.,4224,58013,
05/05/2021,06/07/2020,06/13/2020,2020,24,06/13/2020,United States,Metropolitan,3949,49285,
05/05/2021,06/07/2020,06/13/2020,2020,24,06/13/2020,United States,Nonmetropolitan,275,8728,
05/05/2021,06/14/2020,06/20/2020,2020,25,06/20/2020,United States,All Counties in the U.S.,3835,57972,
05/05/2021,06/14/2020,06/20/2020,2020,25,06/20/2020,United States,Metropolitan,3582,49284,
05/05/2021,06/14/2020,06/20/2020,2020,25,06/20/2020,United States,Nonmetropolitan,253,8688,
05/05/2021,06/21/2020,06/27/2020,2020,26,06/27/2020,United States,All Counties in the U.S.,3828,58486,
05/05/2021,06/21/2020,06/27/2020,2020,26,06/27/2020,United States,Metropolitan,3562,49791,
05/05/2021,06/21/2020,06/27/2020,2020,26,06/27/2020,United States,Nonmetropolitan,266,8695,
05/05/2021,06/28/2020,07/04/2020,2020,27,07/04/2020,United States,All Counties in the U.S.,4531,59798,
05/05/2021,06/28/2020,07/04/2020,2020,27,07/04/2020,United States,Metropolitan,4188,50779,
05/05/2021,06/28/2020,07/04/2020,2020,27,07/04/2020,United States,Nonmetropolitan,343,9019,
05/05/2021,07/05/2020,07/11/2020,2020,28,07/11/2020,United States,All Counties in the U.S.,5767,61912,
05/05/2021,07/05/2020,07/11/2020,2020,28,07/11/2020,United States,Metropolitan,5374,52816,
05/05/2021,07/05/2020,07/11/2020,2020,28,07/11/2020,United States,Nonmetropolitan,393,9096,
05/05/2021,07/12/2020,07/18/2020,2020,29,07/18/2020,United States,All Counties in the U.S.,7174,63147,
05/05/2021,07/12/2020,07/18/2020,2020,29,07/18/2020,United States,Metropolitan,6632,54013,
05/05/2021,07/12/2020,07/18/2020,2020,29,07/18/2020,United States,Nonmetropolitan,542,9134,
05/05/2021,07/19/2020,07/25/2020,2020,30,07/25/2020,United States,All Counties in the U.S.,8213,64225,
05/05/2021,07/19/2020,07/25/2020,2020,30,07/25/2020,United States,Metropolitan,7497,54882,
05/05/2021,07/19/2020,07/25/2020,2020,30,07/25/2020,United States,Nonmetropolitan,716,9343,
05/05/2021,07/26/2020,08/01/2020,2020,31,08/01/2020,United States,All Counties in the U.S.,8292,64200,
05/05/2021,07/26/2020,08/01/2020,2020,31,08/01/2020,United States,Metropolitan,7513,54708,
05/05/2021,07/26/2020,08/01/2020,2020,31,08/01/2020,United States,Nonmetropolitan,779,9492,
05/05/2021,08/02/2020,08/08/2020,2020,32,08/08/2020,United States,All Counties in the U.S.,7849,63689,
05/05/2021,08/02/2020,08/08/2020,2020,32,08/08/2020,United States,Metropolitan,6978,53909,
05/05/2021,08/02/2020,08/08/2020,2020,32,08/08/2020,United States,Nonmetropolitan,871,9780,
05/05/2021,08/09/2020,08/15/2020,2020,33,08/15/2020,United States,All Counties in the U.S.,7234,63620,
05/05/2021,08/09/2020,08/15/2020,2020,33,08/15/2020,United States,Metropolitan,6393,53996,
05/05/2021,08/09/2020,08/15/2020,2020,33,08/15/2020,United States,Nonmetropolitan,841,9624,
05/05/2021,08/16/2020,08/22/2020,2020,34,08/22/2020,United States,All Counties in the U.S.,6361,62531,
05/05/2021,08/16/2020,08/22/2020,2020,34,08/22/2020,United States,Metropolitan,5535,52860,
05/05/2021,08/16/2020,08/22/2020,2020,34,08/22/2020,United States,Nonmetropolitan,826,9671,
05/05/2021,08/23/2020,08/29/2020,2020,35,08/29/2020,United States,All Counties in the U.S.,5716,61067,
05/05/2021,08/23/2020,08/29/2020,2020,35,08/29/2020,United States,Metropolitan,4910,51619,
05/05/2021,08/23/2020,08/29/2020,2020,35,08/29/2020,United States,Nonmetropolitan,806,9448,
05/05/2021,08/30/2020,09/05/2020,2020,36,09/05/2020,United States,All Counties in the U.S.,4998,60210,
05/05/2021,08/30/2020,09/05/2020,2020,36,09/05/2020,United States,Metropolitan,4307,51009,
05/05/2021,08/30/2020,09/05/2020,2020,36,09/05/2020,United States,Nonmetropolitan,691,9201,
05/05/2021,09/06/2020,09/12/2020,2020,37,09/12/2020,United States,All Counties in the U.S.,4608,59622,
05/05/2021,09/06/2020,09/12/2020,2020,37,09/12/2020,United States,Metropolitan,3989,50417,
05/05/2021,09/06/2020,09/12/2020,2020,37,09/12/2020,United States,Nonmetropolitan,619,9205,
05/05/2021,09/13/2020,09/19/2020,2020,38,09/19/2020,United States,All Counties in the U.S.,4256,59685,
05/05/2021,09/13/2020,09/19/2020,2020,38,09/19/2020,United States,Metropolitan,3652,50464,
05/05/2021,09/13/2020,09/19/2020,2020,38,09/19/2020,United States,Nonmetropolitan,604,9221,
05/05/2021,09/20/2020,09/26/2020,2020,39,09/26/2020,United States,All Counties in the U.S.,4279,60571,
05/05/2021,09/20/2020,09/26/2020,2020,39,09/26/2020,United States,Metropolitan,3539,50964,
05/05/2021,09/20/2020,09/26/2020,2020,39,09/26/2020,United States,Nonmetropolitan,740,9607,
05/05/2021,09/27/2020,10/03/2020,2020,40,10/03/2020,United States,All Counties in the U.S.,4220,59737,
05/05/2021,09/27/2020,10/03/2020,2020,40,10/03/2020,United States,Metropolitan,3411,50341,
05/05/2021,09/27/2020,10/03/2020,2020,40,10/03/2020,United States,Nonmetropolitan,809,9396,
05/05/2021,10/04/2020,10/10/2020,2020,41,10/10/2020,United States,All Counties in the U.S.,4796,61662,
05/05/2021,10/04/2020,10/10/2020,2020,41,10/10/2020,United States,Metropolitan,3881,51861,
05/05/2021,10/04/2020,10/10/2020,2020,41,10/10/2020,United States,Nonmetropolitan,915,9801,
05/05/2021,10/11/2020,10/17/2020,2020,42,10/17/2020,United States,All Counties in the U.S.,5162,60469,
05/05/2021,10/11/2020,10/17/2020,2020,42,10/17/2020,United States,Metropolitan,4102,50859,
05/05/2021,10/11/2020,10/17/2020,2020,42,10/17/2020,United States,Nonmetropolitan,1060,9610,
05/05/2021,10/18/2020,10/24/2020,2020,43,10/24/2020,United States,All Counties in the U.S.,5947,62016,
05/05/2021,10/18/2020,10/24/2020,2020,43,10/24/2020,United States,Metropolitan,4671,51887,
05/05/2021,10/18/2020,10/24/2020,2020,43,10/24/2020,United States,Nonmetropolitan,1276,10129,
05/05/2021,10/25/2020,10/31/2020,2020,44,10/31/2020,United States,All Counties in the U.S.,6978,63235,
05/05/2021,10/25/2020,10/31/2020,2020,44,10/31/2020,United States,Metropolitan,5561,52914,
05/05/2021,10/25/2020,10/31/2020,2020,44,10/31/2020,United States,Nonmetropolitan,1417,10321,
05/05/2021,11/01/2020,11/07/2020,2020,45,11/07/2020,United States,All Counties in the U.S.,8710,67386,
05/05/2021,11/01/2020,11/07/2020,2020,45,11/07/2020,United States,Metropolitan,6868,56458,
05/05/2021,11/01/2020,11/07/2020,2020,45,11/07/2020,United States,Nonmetropolitan,1842,10928,
05/05/2021,11/08/2020,11/14/2020,2020,46,11/14/2020,United States,All Counties in the U.S.,10572,68561,
05/05/2021,11/08/2020,11/14/2020,2020,46,11/14/2020,United States,Metropolitan,8332,57106,
05/05/2021,11/08/2020,11/14/2020,2020,46,11/14/2020,United States,Nonmetropolitan,2240,11455,
05/05/2021,11/15/2020,11/21/2020,2020,47,11/21/2020,United States,All Counties in the U.S.,13247,71045,
05/05/2021,11/15/2020,11/21/2020,2020,47,11/21/2020,United States,Metropolitan,10507,59251,
05/05/2021,11/15/2020,11/21/2020,2020,47,11/21/2020,United States,Nonmetropolitan,2740,11794,
05/05/2021,11/22/2020,11/28/2020,2020,48,11/28/2020,United States,All Counties in the U.S.,15486,72670,
05/05/2021,11/22/2020,11/28/2020,2020,48,11/28/2020,United States,Metropolitan,12524,60660,
05/05/2021,11/22/2020,11/28/2020,2020,48,11/28/2020,United States,Nonmetropolitan,2962,12010,
05/05/2021,11/29/2020,12/05/2020,2020,49,12/05/2020,United States,All Counties in the U.S.,18444,76885,
05/05/2021,11/29/2020,12/05/2020,2020,49,12/05/2020,United States,Metropolitan,15043,64446,
05/05/2021,11/29/2020,12/05/2020,2020,49,12/05/2020,United States,Nonmetropolitan,3401,12439,
05/05/2021,12/06/2020,12/12/2020,2020,50,12/12/2020,United States,All Counties in the U.S.,20804,81382,
05/05/2021,12/06/2020,12/12/2020,2020,50,12/12/2020,United States,Metropolitan,17142,68388,
05/05/2021,12/06/2020,12/12/2020,2020,50,12/12/2020,United States,Nonmetropolitan,3662,12994,
05/05/2021,12/13/2020,12/19/2020,2020,51,12/19/2020,United States,All Counties in the U.S.,22160,82235,
05/05/2021,12/13/2020,12/19/2020,2020,51,12/19/2020,United States,Metropolitan,18733,69628,
05/05/2021,12/13/2020,12/19/2020,2020,51,12/19/2020,United States,Nonmetropolitan,3427,12607,
05/05/2021,12/20/2020,12/26/2020,2020,52,12/26/2020,United States,All Counties in the U.S.,23150,83458,
05/05/2021,12/20/2020,12/26/2020,2020,52,12/26/2020,United States,Metropolitan,19857,70929,
05/05/2021,12/20/2020,12/26/2020,2020,52,12/26/2020,United States,Nonmetropolitan,3293,12529,
05/05/2021,12/27/2020,01/02/2021,2020,53,01/02/2021,United States,All Counties in the U.S.,24342,85343,
05/05/2021,12/27/2020,01/02/2021,2020,53,01/02/2021,United States,Metropolitan,21190,72779,
05/05/2021,12/27/2020,01/02/2021,2020,53,01/02/2021,United States,Nonmetropolitan,3152,12564,
05/05/2021,01/03/2021,01/09/2021,2021,1,01/09/2021,United States,All Counties in the U.S.,24865,83642,
05/05/2021,01/03/2021,01/09/2021,2021,1,01/09/2021,United States,Metropolitan,21894,71870,
05/05/2021,01/03/2021,01/09/2021,2021,1,01/09/2021,United States,Nonmetropolitan,2971,11772,
05/05/2021,01/10/2021,01/16/2021,2021,2,01/16/2021,United States,All Counties in the U.S.,24357,83422,
05/05/2021,01/10/2021,01/16/2021,2021,2,01/16/2021,United States,Metropolitan,21496,71981,
05/05/2021,01/10/2021,01/16/2021,2021,2,01/16/2021,United States,Nonmetropolitan,2861,11441,
05/05/2021,01/17/2021,01/23/2021,2021,3,01/23/2021,United States,All Counties in the U.S.,22304,79705,
05/05/2021,01/17/2021,01/23/2021,2021,3,01/23/2021,United States,Metropolitan,19848,68685,
05/05/2021,01/17/2021,01/23/2021,2021,3,01/23/2021,United States,Nonmetropolitan,2456,11020,
05/05/2021,01/24/2021,01/30/2021,2021,4,01/30/2021,United States,All Counties in the U.S.,19266,75701,
05/05/2021,01/24/2021,01/30/2021,2021,4,01/30/2021,United States,Metropolitan,17166,65335,
05/05/2021,01/24/2021,01/30/2021,2021,4,01/30/2021,United States,Nonmetropolitan,2100,10366,
05/05/2021,01/31/2021,02/06/2021,2021,5,02/06/2021,United States,All Counties in the U.S.,16165,73148,
05/05/2021,01/31/2021,02/06/2021,2021,5,02/06/2021,United States,Metropolitan,14592,63213,
05/05/2021,01/31/2021,02/06/2021,2021,5,02/06/2021,United States,Nonmetropolitan,1573,9935,
05/05/2021,02/07/2021,02/13/2021,2021,6,02/13/2021,United States,All Counties in the U.S.,12760,68140,
05/05/2021,02/07/2021,02/13/2021,2021,6,02/13/2021,United States,Metropolitan,11592,58811,
05/05/2021,02/07/2021,02/13/2021,2021,6,02/13/2021,United States,Nonmetropolitan,1168,9329,
05/05/2021,02/14/2021,02/20/2021,2021,7,02/20/2021,United States,All Counties in the U.S.,10206,65923,
05/05/2021,02/14/2021,02/20/2021,2021,7,02/20/2021,United States,Metropolitan,9323,56662,
05/05/2021,02/14/2021,02/20/2021,2021,7,02/20/2021,United States,Nonmetropolitan,883,9261,
05/05/2021,02/21/2021,02/27/2021,2021,8,02/27/2021,United States,All Counties in the U.S.,8142,63056,
05/05/2021,02/21/2021,02/27/2021,2021,8,02/27/2021,United States,Metropolitan,7426,54194,
05/05/2021,02/21/2021,02/27/2021,2021,8,02/27/2021,United States,Nonmetropolitan,716,8862,
05/05/2021,02/28/2021,03/06/2021,2021,9,03/06/2021,United States,All Counties in the U.S.,6323,59735,
05/05/2021,02/28/2021,03/06/2021,2021,9,03/06/2021,United States,Metropolitan,5798,51474,
05/05/2021,02/28/2021,03/06/2021,2021,9,03/06/2021,United States,Nonmetropolitan,525,8261,
05/05/2021,03/07/2021,03/13/2021,2021,10,03/13/2021,United States,All Counties in the U.S.,5318,57779,
05/05/2021,03/07/2021,03/13/2021,2021,10,03/13/2021,United States,Metropolitan,4872,49663,
05/05/2021,03/07/2021,03/13/2021,2021,10,03/13/2021,United States,Nonmetropolitan,446,8116,
05/05/2021,03/14/2021,03/20/2021,2021,11,03/20/2021,United States,All Counties in the U.S.,4505,55858,
05/05/2021,03/14/2021,03/20/2021,2021,11,03/20/2021,United States,Metropolitan,4131,48154,
05/05/2021,03/14/2021,03/20/2021,2021,11,03/20/2021,United States,Nonmetropolitan,374,7704,
05/05/2021,03/21/2021,03/27/2021,2021,12,03/27/2021,United States,All Counties in the U.S.,4036,54993,
05/05/2021,03/21/2021,03/27/2021,2021,12,03/27/2021,United States,Metropolitan,3726,47272,
05/05/2021,03/21/2021,03/27/2021,2021,12,03/27/2021,United States,Nonmetropolitan,310,7721,
05/05/2021,03/28/2021,04/03/2021,2021,13,04/03/2021,United States,All Counties in the U.S.,3682,51946,
05/05/2021,03/28/2021,04/03/2021,2021,13,04/03/2021,United States,Metropolitan,3369,44666,
05/05/2021,03/28/2021,04/03/2021,2021,13,04/03/2021,United States,Nonmetropolitan,313,7280,
05/05/2021,04/04/2021,04/10/2021,2021,14,04/10/2021,United States,All Counties in the U.S.,3574,49992,
05/05/2021,04/04/2021,04/10/2021,2021,14,04/10/2021,United States,Metropolitan,3299,42900,
05/05/2021,04/04/2021,04/10/2021,2021,14,04/10/2021,United States,Nonmetropolitan,275,7092,
05/05/2021,04/11/2021,04/17/2021,2021,15,04/17/2021,United States,All Counties in the U.S.,3016,39625,
05/05/2021,04/11/2021,04/17/2021,2021,15,04/17/2021,United States,Metropolitan,2776,33876,
05/05/2021,04/11/2021,04/17/2021,2021,15,04/17/2021,United States,Nonmetropolitan,240,5749,
05/05/2021,04/18/2021,04/24/2021,2021,16,04/24/2021,United States,All Counties in the U.S.,2295,29487,
05/05/2021,04/18/2021,04/24/2021,2021,16,04/24/2021,United States,Metropolitan,2103,25202,
05/05/2021,04/18/2021,04/24/2021,2021,16,04/24/2021,United States,Nonmetropolitan,192,4285,
05/05/2021,04/25/2021,05/01/2021,2021,17,05/01/2021,United States,All Counties in the U.S.,658,8742,
05/05/2021,04/25/2021,05/01/2021,2021,17,05/01/2021,United States,Metropolitan,598,7356,
05/05/2021,04/25/2021,05/01/2021,2021,17,05/01/2021,United States,Nonmetropolitan,60,1386,
